fecha,departamento,municipio,precipitacion_mm,demanda_municipio_est_gwh,demanda_predicha_gwh,error_absoluto
2026-01-12,Norte de Santander,Villa del Rosario,8.066666666666666,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-12,Putumayo,Putumayo,0.0,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-12,Putumayo,Mocoa,11.5,0.06024,0.049441265397536405,0.010798734602463597
2026-01-12,Putumayo,Orito,11.5,0.000222,0.0004026142013689178,0.00018061420136891777
2026-01-12,Putumayo,Puerto Asís,11.5,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-12,Quindío,Quindío,0.0,0.0,0.002846168095513756,0.002846168095513756
2026-01-12,Quindío,Armenia,7.6,0.07957,0.07684516506054266,0.0027248349394573407
2026-01-12,Quindío,Calarcá,7.6,0.0,0.0,0.0
2026-01-12,Quindío,Montenegro,7.6,0.010051,0.0125970843235176,0.0025460843235176004
2026-01-12,Quindío,Quimbaya,7.6,0.005002,0.002846168095513756,0.0021558319044862446
2026-01-12,Risaralda,Risaralda,0.0,0.0,0.0010784720856514426,0.0010784720856514426
2026-01-12,Risaralda,Belén de Umbría,20.95,0.0,0.0,0.0
2026-01-12,Risaralda,Dosquebradas,20.95,0.0,0.0,0.0
2026-01-12,Risaralda,Pereira,20.95,0.432453,0.41680302322889773,0.015649976771102247
2026-01-12,Risaralda,Santa Rosa de Cabal,20.95,0.0,0.0010784720856514426,0.0010784720856514426
2026-01-12,Santander,Santander,0.0,0.0,0.0010784720856514426,0.0010784720856514426
2026-01-12,Sucre,Sucre,0.0,0.0,0.002807073915801902,0.002807073915801902
2026-01-12,Sucre,Corozal,1.1,0.024437,0.02724903549759394,0.002812035497593939
2026-01-12,Sucre,San Marcos,1.1,0.005739,0.006190475945402813,0.0004514759454028131
2026-01-12,Sucre,Sincelejo,0.0,0.200257,0.21485407166647708,0.014597071666477085
2026-01-12,Sucre,Tolú,1.1,0.0,0.002807073915801902,0.002807073915801902
2026-01-12,Tolima,Tolima,0.0,0.0,0.002807073915801902,0.002807073915801902
2026-01-12,Tolima,Espinal,39.93333333333333,0.083292,0.0788134338989718,0.004478566101028203
2026-01-12,Tolima,Honda,39.93333333333333,0.00314,0.0029695034128318825,0.00017049658716811753
2026-01-12,Tolima,Ibagué,39.93333333333333,0.0,0.0,0.0
2026-01-12,Tolima,Líbano,39.93333333333333,0.0,0.0,0.0
2026-01-12,Tolima,Melgar,39.93333333333333,0.042796,0.05251694704089961,0.00972094704089961
2026-01-12,Valle del Cauca,Valle del Cauca,0.0,0.0,0.0,0.0
2026-01-12,Valle del Cauca,Buenaventura,3.5,0.131113,0.12947791104858622,0.0016350889514137878
2026-01-12,Valle del Cauca,Cali,3.5,2.120932,2.093990641700502,0.026941358299497953
